"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Production Smoke P0","0","Jobs Service - Career & Listings","1","0","Service Availability","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Performance Trends","0"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","1","0","University Invites","0"
"0","Production Smoke P0","0","Billing Service - Revenue & Wallets","1","0","Financial Transactions","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","Resume Storage","0"
"0","Production Smoke P0","0","Billing Service - Revenue & Wallets","2","0","Reports","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Hardware Compatibility","0"
"0","Production Smoke P0","0","Courses Service - Learning Management","3","0","Learner Analytics","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Candidate Progress","0"
"0","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","1","0","Calendar & Availability","0"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","2","0","RBAC & Roles","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Company Questions","0"
"0","Production Smoke P0","0","Courses Service - Learning Management","1","0","Engagement Metrics","0"
"0","Production Smoke P0","0","Jobs Service - Career & Listings","1","0","Job Search & Listings","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Comprehensive Analysis","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","AI Recommendations","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Conversation History","0"
"0","Production Smoke P0","0","Billing Service - Revenue & Wallets","2","0","Pricing & Credit Catalog","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Coding Challenge","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Evaluations by Type","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","Skill Extraction","0"
"0","Production Smoke P0","0","Courses Service - Learning Management","1","0","Course Reviews","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Candidate Profile","0"
"0","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","1","0","AI Mentor Matching","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Coding Questions","0"
"0","Production Smoke P0","0","Courses Service - Learning Management","1","0","Instructor Hub","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","AI Resume Generation","0"
"0","Production Smoke P0","0","Jobs Service - Career & Listings","1","0","Search Engine","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Writing Prompts","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Session Initialization","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","Admin Repository","0"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","1","0","Authentication & Identity","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","AI Aptitude Generation","0"
"0","Production Smoke P0","0","Billing Service - Revenue & Wallets","1","0","Subscriptions","0"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","1","0","System Availability","0"
"0","Production Smoke P0","0","Jobs Service - Career & Listings","1","0","Platform Stats","0"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","1","0","User Profile","0"
"0","Production Smoke P0","0","Billing Service - Revenue & Wallets","1","0","Usage Queue","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Service Health","0"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","1","0","User Preferences","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","ATS Analysis","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Session Metrics","0"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","1","0","Admin Dashboard Databases","0"
"0","Production Smoke P0","0","Jobs Service - Career & Listings","1","0","Audit Logs","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Question Bank","0"
"0","Production Smoke P0","0","Billing Service - Revenue & Wallets","1","0","Business Metrics","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","Resume Details","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","Service Health","0"
"0","Production Smoke P0","0","Billing Service - Revenue & Wallets","1","0","Wallet Balance","0"
"0","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","1","0","Mentor Search","0"
"0","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","1","0","Mentor Skills","0"
"0","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","2","0","Mentee Goals","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Evaluations Ledger","0"
"0","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","1","0","Session Bookings","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","Admin Skills Query","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","PDF Export","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","Re-Analysis Trigger","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Behavioral Questions","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","AI Technical MCQ","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Skill Recommendations","0"
"0","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","1","0","Performance Gap Analysis","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Interview History","0"
"0","Production Smoke P0","0","Billing Service - Revenue & Wallets","1","0","Financial Audits","0"
"0","Production Smoke P0","0","Jobs Service - Career & Listings","1","0","Company Directory","0"
"0","Production Smoke P0","0","Jobs Service - Career & Listings","1","0","Company Profiles","0"
